qasrl_id	sentence	worker_id	full_question	full_answer	question_start	question_aux	question_body	answer	untokenized sentence	target indices for untok sent
Wiki1k:wikinews:1163396:7:1	Service is not expected to restart for at least six weeks .	Worker-7	Until when isn\'t service expected to restart	for at least six weeks	Until when	isn\'t	service expected to restart	for at least six weeks	Service is not expected to restart for at least six weeks.	3,5
Wiki1k:wikinews:1163396:8:0	The damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest who said Network Rail -- the company charged with maintaining the British railway network -- had been `` in complete denial '' about the vulnerability of the sea wall .	Worker-7	What is the result of the vulnerability of the sea wall	damage to the railway line at Dawlish	What is the result of	_	the vulnerability of the sea wall	damage to the railway line at Dawlish	The damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest who said Network Rail--the company charged with maintaining the British railway network--had been " in complete denial " about the vulnerability of the sea wall.	9,24,26,31
Wiki1k:wikinews:1163396:8:0	The damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest who said Network Rail -- the company charged with maintaining the British railway network -- had been `` in complete denial '' about the vulnerability of the sea wall .	Worker-7	What is the reason the damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest	TravelWatch SouthWest said Network Rail--the company charged with maintaining the British railway network--had been  ""  in complete denial  ""  about the vulnerability of the sea wall	What is the reason	_	the damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest	TravelWatch SouthWest said Network Rail--the company charged with maintaining the British railway network--had been  ""  in complete denial  ""  about the vulnerability of the sea wall	The damage to the railway line at Dawlish has been the subject of criticism by passenger group TravelWatch SouthWest who said Network Rail--the company charged with maintaining the British railway network--had been " in complete denial " about the vulnerability of the sea wall.	9,24,26,31
Wiki1k:wikinews:1003226:1:0	Earlier today , a protest with estimated 100,000 to 150,000 people participating promised to storm Government House of Thailand where Shinawatra 's office is located .	Worker-7	What is the reason a protest promised to storm Government House of Thailand	where Shinawatra\'s office is located	What is the reason	_	a protest promised to storm Government House of Thailand	where Shinawatra\'s office is located	Earlier today, a protest with estimated 100,000 to 150,000 people participating promised to storm Government House of Thailand where Shinawatra\'s office is located.	1,5,11,13,22
Wiki1k:wikinews:1003226:1:0	Earlier today , a protest with estimated 100,000 to 150,000 people participating promised to storm Government House of Thailand where Shinawatra 's office is located .	Worker-7	What is the reason for a protest with estimated 100,000 to 150,000 people participating	to storm Government House of Thailand where Shinawatra\'s office is located	What is the reason	_	for a protest with estimated 100,000 to 150,000 people participating	to storm Government House of Thailand where Shinawatra\'s office is located	Earlier today, a protest with estimated 100,000 to 150,000 people participating promised to storm Government House of Thailand where Shinawatra\'s office is located.	1,5,11,13,22
Wiki1k:wikinews:1003226:1:2	Democrat Party Leader Abhisit Vejjajiva told CNN , `` I think the best way for the Prime Minister to show responsibility is by returning power to the people '' .	Worker-7	What is the reason for the Prime Minister to return power to the people	o show responsibility	What is the reason	_	for the Prime Minister to return power to the people	o show responsibility	Democrat Party Leader Abhisit Vejjajiva told CNN, " I think the best way for the Prime Minister to show responsibility is by returning power to the people " .	5,9,18,20,22
Wiki1k:wikinews:1003226:1:2	Democrat Party Leader Abhisit Vejjajiva told CNN , `` I think the best way for the Prime Minister to show responsibility is by returning power to the people '' .	Worker-7	What is an example of the best way for the Prime Minister to show responsibility	by returning power to the people	What is an example of	_	the best way for the Prime Minister to show responsibility	by returning power to the people	Democrat Party Leader Abhisit Vejjajiva told CNN, " I think the best way for the Prime Minister to show responsibility is by returning power to the people " .	5,9,18,20,22
Wiki1k:wikinews:1163396:8:1	The group pointed to a 2004 report they produced arguing for re-routing of railway services on a disused railway in the area .	Worker-7	In what manner did the group argue for re-routing of railway services	on a disused railway in the area	In what manner	did	the group argue for re-routing of railway services	on a disused railway in the area	The group pointed to a 2004 report they produced arguing for re-routing of railway services on a disused railway in the area.	2,9,17
Wiki1k:wikinews:1163396:8:1	The group pointed to a 2004 report they produced arguing for re-routing of railway services on a disused railway in the area .	Worker-7	What is the reason the group produced a 2004 report	arguing for re-routing of railway services on a disused railway in the area	What is the reason	_	the group produced a 2004 report	arguing for re-routing of railway services on a disused railway in the area	The group pointed to a 2004 report they produced arguing for re-routing of railway services on a disused railway in the area.	2,9,17
Wiki1k:wikinews:1003226:2:0	The country has had several weeks of protests leading up to Shinawatra 's decision .	Worker-7	What is the reason the country had several weeks of protests	Shinawatra\'s decision	What is the reason	_	the country had several weeks of protests	Shinawatra\'s decision	The country has had several weeks of protests leading up to Shinawatra\'s decision.	3,8
Wiki1k:wikinews:1003226:2:0	The country has had several weeks of protests leading up to Shinawatra 's decision .	Worker-7	Before what had the country had several weeks of protests	Shinawatra\'s decision	Before what	_	had the country had several weeks of protests	Shinawatra\'s decision	The country has had several weeks of protests leading up to Shinawatra\'s decision.	3,8
Wiki1k:wikinews:1003226:2:3	Thaskin currently lives abroad and has not returned home because of a corruption conviction that could result in a two-year prison sentence .	Worker-7	What is the result of a corruption conviction	a corruption conviction could result in a two-year prison sentence	What is the result of	_	a corruption conviction	a corruption conviction could result in a two-year prison sentence	Thaskin currently lives abroad and has not returned home because of a corruption conviction that could result in a two-year prison sentence.	2,7,16
Wiki1k:wikinews:1003226:2:3	Thaskin currently lives abroad and has not returned home because of a corruption conviction that could result in a two-year prison sentence .	Worker-7	What is the reason thaskin currently lives abroad and has not returned home	because of a corruption conviction that could result in a two-year prison sentence	What is the reason	_	Thaskin currently lives abroad and has not returned home	because of a corruption conviction that could result in a two-year prison sentence	Thaskin currently lives abroad and has not returned home because of a corruption conviction that could result in a two-year prison sentence.	2,7,16
Wiki1k:wikinews:1003226:2:4	Shinawatra 's party had tried and failed to pass legislation granting amnesty to Thaksin .	Worker-7	What is the result of shinawatra\'s party trying to pass legislation granting amnesty to Thaksin	failed to pass	What is the result of	_	Shinawatra\'s party trying to pass legislation granting amnesty to Thaksin	failed to pass	Shinawatra\'s party had tried and failed to pass legislation granting amnesty to Thaksin.	3,5,7,9
Wiki1k:wikinews:1163396:8:2	`` Had the recommendation in that 2004 report been heeded , the studies would already have been completed , and a clear preferred diversionary route might now be available '' , they said .	Worker-7	In what manner would the studies have been completed already	Had the recommendation in that 2004 report been heeded	In what manner	_	would the studies have been completed already	Had the recommendation in that 2004 report been heeded	\ "  Had the recommendation in that 2004 report been heeded, the studies would already have been completed, and a clear preferred diversionary route might now be available ", they said.	3,11,18,27
Wiki1k:wikinews:1163396:8:2	`` Had the recommendation in that 2004 report been heeded , the studies would already have been completed , and a clear preferred diversionary route might now be available '' , they said .	Worker-7	In what manner could a clear preferred diversionary route be available	Had the recommendation in that 2004 report been heeded, the studies would already have been completed	In what manner	could	a clear preferred diversionary route be available	Had the recommendation in that 2004 report been heeded, the studies would already have been completed	\ "  Had the recommendation in that 2004 report been heeded, the studies would already have been completed, and a clear preferred diversionary route might now be available ", they said.	3,11,18,27
Wiki1k:wikinews:1005448:0:0	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo .	Worker-7	What is an example of the alcohol company	Diageo	What is an example of	_	the alcohol company	Diageo	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo.	2,10,17
Wiki1k:wikinews:1005448:0:0	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo .	Worker-7	What is the result of the probe	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo	What is the result of	_	the probe	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo.	2,10,17
Wiki1k:wikinews:1005448:0:0	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo .	Worker-7	What is an example of weapons firms	BAE Systems	What is an example of	_	weapons firms	BAE Systems	The probe discovered evidence of hundreds of thousands of pounds going towards shares in weapons firms like BAE Systems and alcohol company Diageo.	2,10,17
Wiki1k:wikinews:1163396:9:1	Trains going between Manchester and Cardiff have also been affected by the floods .	Worker-7	What is the reason trains going between Manchester and Cardiff have been affected	the floods	What is the reason	_	trains going between Manchester and Cardiff have been affected	the floods	Trains going between Manchester and Cardiff have also been affected by the floods.	1,6,9
Wiki1k:wikinews:1005448:0:1	It is also alleged to have pledged upwards of # 3 million into tobacco firms .	Worker-7	In what manner did it pledge upwards of #3 million	into tobacco firms	In what manner	did	It pledge upwards of #3 million	into tobacco firms	It is also alleged to have pledged upwards of #3 million into tobacco firms.	1,3,6
Wiki1k:wikinews:1084340:4:1	Not only were they coming in but there was more money coming into the general area from wages and people living here .	Worker-7	What is the result of wages and people living here	there was more money coming into the general area	What is the result of	_	wages and people living here	there was more money coming into the general area	Not only were they coming in but there was more money coming into the general area from wages and people living here.	2,4,8,11,20
Wiki1k:wikinews:1084340:4:1	Not only were they coming in but there was more money coming into the general area from wages and people living here .	Worker-7	What is the reason there was more money coming into the general area	from wages and people living here	What is the reason	_	there was more money coming into the general area	from wages and people living here	Not only were they coming in but there was more money coming into the general area from wages and people living here.	2,4,8,11,20
Wiki1k:wikinews:1165941:0:0	A man has been admitted to hospital , having been seriously injured when hit by a car in Glasgow , Scotland .	Worker-7	What is the result of a man being hit by a car in Glasgow, Scotland	A man has been seriously injured	What is the result of	_	a man being hit by a car in Glasgow, Scotland	A man has been seriously injured	A man has been admitted to hospital, having been seriously injured when hit by a car in Glasgow, Scotland.	4,10,12
Wiki1k:wikinews:1165941:0:0	A man has been admitted to hospital , having been seriously injured when hit by a car in Glasgow , Scotland .	Worker-7	What is the reason a man has been admitted to hospital	having been seriously injured when hit by a car in Glasgow, Scotland	What is the reason	_	a man has been admitted to hospital	having been seriously injured when hit by a car in Glasgow, Scotland	A man has been admitted to hospital, having been seriously injured when hit by a car in Glasgow, Scotland.	4,10,12
Wiki1k:wikinews:1005448:1:0	Ethical fund manager Helen Wildsmith told Panorama : `` If people who 've been giving them money , after watching the television , next year think twice and do n't give that money , because they 're concerned about their investment policy , then that could be argued to be a breach of fiduciary duty .	Worker-7	What is the reason for  people who\'ve been giving them money to  think twice and not give that money	because they\'re concerned about their investment policy	What is the reason	_	for  people who\'ve been giving them money to  think twice and not give that money	because they\'re concerned about their investment policy	Ethical fund manager Helen Wildsmith told Panorama: " If people who\'ve been giving them money, after watching the television, next year think twice and don\'t give that money, because they\'re concerned about their investment policy, then that could be argued to be a breach of fiduciary duty.	5,12,16,21,25,33,39,41
Wiki1k:wikinews:1005448:1:0	Ethical fund manager Helen Wildsmith told Panorama : `` If people who 've been giving them money , after watching the television , next year think twice and do n't give that money , because they 're concerned about their investment policy , then that could be argued to be a breach of fiduciary duty .	Worker-7	What is an example of a breach of fiduciary duty	If people who\'ve been giving them money, after watching the television, next year think twice and don\'t give that money, because they\'re concerned about their investment policy	What is an example of	_	a breach of fiduciary duty	If people who\'ve been giving them money, after watching the television, next year think twice and don\'t give that money, because they\'re concerned about their investment policy	Ethical fund manager Helen Wildsmith told Panorama: " If people who\'ve been giving them money, after watching the television, next year think twice and don\'t give that money, because they\'re concerned about their investment policy, then that could be argued to be a breach of fiduciary duty.	5,12,16,21,25,33,39,41
Wiki1k:wikinews:1005448:1:0	Ethical fund manager Helen Wildsmith told Panorama : `` If people who 've been giving them money , after watching the television , next year think twice and do n't give that money , because they 're concerned about their investment policy , then that could be argued to be a breach of fiduciary duty .	Worker-7	After what might people who\'ve been giving them money think twice	after watching the television	After what	might	people who\'ve been giving them money think twice	after watching the television	Ethical fund manager Helen Wildsmith told Panorama: " If people who\'ve been giving them money, after watching the television, next year think twice and don\'t give that money, because they\'re concerned about their investment policy, then that could be argued to be a breach of fiduciary duty.	5,12,16,21,25,33,39,41
Wiki1k:wikinews:1084340:4:2	I 'm disappointed at the fact that another employer is gone from the area . ''	Worker-7	What is the result of another employer gone from the area	I\'m disappointed	What is the result of	_	another employer gone from the area	I\'m disappointed	I\'m disappointed at the fact that another employer is gone from the area .  "	1,9
Wiki1k:wikinews:1084340:4:2	I 'm disappointed at the fact that another employer is gone from the area . ''	Worker-7	What is the reason i\'m disappointed	another employer is gone from the area	What is the reason	_	I\'m disappointed	another employer is gone from the area	I\'m disappointed at the fact that another employer is gone from the area .  "	1,9
Wiki1k:wikinews:1005448:1:1	They 're risking their reputation , and a charity 's reputation is very precious . ''	Worker-7	Despite what are they risking their reputation	a charity\'s reputation is very precious	Despite what	are	they risking their reputation	a charity\'s reputation is very precious	They\'re risking their reputation, and a charity\'s reputation is very precious .  "	1,8
Wiki1k:wikinews:1165941:1:0	The pedestrian was transferred to the Southern General Hospital after initially being transported to Glasgow Royal Infirmary .	Worker-7	After what was the pedestrian transferred to the Southern General Hospital	after initially being transported to Glasgow Royal Infirmary	After what	was	the pedestrian transferred to the Southern General Hospital	after initially being transported to Glasgow Royal Infirmary	The pedestrian was transferred to the Southern General Hospital after initially being transported to Glasgow Royal Infirmary.	3,12
Wiki1k:wikinews:1084340:4:3	A pharmacist-in-charge at Brighton Discount Drug Store also commented , saying that staff members from the detention centre came to Brighton for lunch and shopping .	Worker-7	What is the reason that staff members from the detention centre came to Brighton	for lunch and shopping	What is the reason	_	that staff members from the detention centre came to Brighton	for lunch and shopping	A pharmacist-in-charge at Brighton Discount Drug Store also commented, saying that staff members from the detention centre came to Brighton for lunch and shopping.	8,9,17
Wiki1k:wikinews:1005448:2:0	Comic Relief was founded in 1985 , and since then has taken in nearly # 1 billion in donations .	Worker-7	Since when has comic Relief taken in nearly #1 billion in donations	1985	Since when	has	Comic Relief taken in nearly #1 billion in donations	1985	Comic Relief was founded in 1985, and since then has taken in nearly #1 billion in donations.	3,10
Wiki1k:wikinews:1165941:1:1	The condition of the passenger , who experienced a serious head injury , was described as serious albeit stable by hospital staff .	Worker-7	What is the reason the condition of the passenger was described as serious albeit stable by hospital staff	the passenger experienced a serious head injury	What is the reason	_	the condition of the passenger was described as serious albeit stable by hospital staff	the passenger experienced a serious head injury	The condition of the passenger, who experienced a serious head injury, was described as serious albeit stable by hospital staff.	6,12,18
Wiki1k:wikinews:1165941:1:1	The condition of the passenger , who experienced a serious head injury , was described as serious albeit stable by hospital staff .	Worker-7	In what manner was the condition of the passenger, who experienced a serious head injury, described	as serious albeit stable by hospital staff	In what manner	was	the condition of the passenger, who experienced a serious head injury, described	as serious albeit stable by hospital staff	The condition of the passenger, who experienced a serious head injury, was described as serious albeit stable by hospital staff.	6,12,18
Wiki1k:wikinews:1005448:2:2	It uses a range of managed funds , which invests the money in the charity 's name - including on the stock market - in order to maximise return .	Worker-7	In what manner does it maximise return	It uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market	In what manner	does	it maximise return	It uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market	It uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market - in order to maximise return.	1,5,8,25
Wiki1k:wikinews:1005448:2:2	It uses a range of managed funds , which invests the money in the charity 's name - including on the stock market - in order to maximise return .	Worker-7	What is the reason it uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market	to maximise return	What is the reason	_	it uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market	to maximise return	It uses a range of managed funds, which invests the money in the charity\'s name - including on the stock market - in order to maximise return.	1,5,8,25
Wiki1k:wikinews:1165941:1:2	The 48-year-old driver , who alerted emergency services to the incident , was uninjured but apparently shaken .	Worker-7	What is the result of the incident	The 48-year-old driver was uninjured but apparently shaken	What is the result of	_	the incident	The 48-year-old driver was uninjured but apparently shaken	The 48-year-old driver, who alerted emergency services to the incident, was uninjured but apparently shaken.	4,10,14
